Image Name,Radius,Intersections,condition
shTest_image1,5,30,shTest
shTest_image1,10,174,shTest
shTest_image1,15,292,shTest
shTest_image1,20,475,shTest
shTest_image1,25,313,shTest
shTest_image1,30,87,shTest
shTest_image1,35,32,shTest
shTest_image1,40,6,shTest
shTest_image2,5,31,shTest
shTest_image2,10,105,shTest
shTest_image2,15,163,shTest
shTest_image2,20,166,shTest
shTest_image2,25,166,shTest
shTest_image2,30,150,shTest
shTest_image2,35,129,shTest
shTest_image2,40,134,shTest
shTest_image2,45,106,shTest
shTest_image2,50,64,shTest
shTest_image3,5,12,shTest
shTest_image3,10,43,shTest
shTest_image3,15,98,shTest
shTest_image3,20,97,shTest
shTest_image3,25,117,shTest
shTest_image3,30,105,shTest
shTest_image3,35,68,shTest
shTest_image3,40,49,shTest
shTest_image3,45,28,shTest
shTest_image3,50,15,shTest
shTest_image4,5,23,shTest
shTest_image4,10,70,shTest
shTest_image4,15,144,shTest
shTest_image4,20,144,shTest
shTest_image4,25,124,shTest
shTest_image4,30,85,shTest
shTest_image4,35,49,shTest
shTest_image4,40,26,shTest
shTest_image4,45,12,shTest
shTest_image5,5,12,shTest
shTest_image5,10,74,shTest
shTest_image5,15,130,shTest
shTest_image5,20,146,shTest
shTest_image5,25,126,shTest
shTest_image5,30,64,shTest
shTest_image5,35,15,shTest
shTest_image5,40,7,shTest
shTest_image5,45,5,shTest
shCtrl_image1,5,46,shCtrl
shCtrl_image1,10,252,shCtrl
shCtrl_image1,15,350,shCtrl
shCtrl_image1,20,283,shCtrl
shCtrl_image1,25,116,shCtrl
shCtrl_image1,30,29,shCtrl
shCtrl_image1,35,12,shCtrl
shCtrl_image2,5,47,shCtrl
shCtrl_image2,10,242,shCtrl
shCtrl_image2,15,325,shCtrl
shCtrl_image2,20,444,shCtrl
shCtrl_image2,25,391,shCtrl
shCtrl_image2,30,172,shCtrl
shCtrl_image2,35,51,shCtrl
shCtrl_image3,5,17,shCtrl
shCtrl_image3,10,88,shCtrl
shCtrl_image3,15,127,shCtrl
shCtrl_image3,20,169,shCtrl
shCtrl_image3,25,215,shCtrl
shCtrl_image3,30,129,shCtrl
shCtrl_image3,35,51,shCtrl
shCtrl_image3,40,6,shCtrl
shCtrl_image4,5,14,shCtrl
shCtrl_image4,10,138,shCtrl
shCtrl_image4,15,209,shCtrl
shCtrl_image4,20,190,shCtrl
shCtrl_image4,25,187,shCtrl
shCtrl_image4,30,138,shCtrl
shCtrl_image4,35,41,shCtrl
shCtrl_image4,40,5,shCtrl
shCtrl_image5,5,18,shCtrl
shCtrl_image5,10,136,shCtrl
shCtrl_image5,15,289,shCtrl
shCtrl_image5,20,258,shCtrl
shCtrl_image5,25,167,shCtrl
shCtrl_image5,30,131,shCtrl
shCtrl_image5,35,117,shCtrl
shCtrl_image5,40,83,shCtrl
shCtrl_image5,45,61,shCtrl
shCtrl_image5,50,35,shCtrl
shCtrl_image6,5,24,shCtrl
shCtrl_image6,10,125,shCtrl
shCtrl_image6,15,137,shCtrl
shCtrl_image6,20,197,shCtrl
shCtrl_image6,25,197,shCtrl
shCtrl_image6,30,202,shCtrl
shCtrl_image6,35,105,shCtrl
shCtrl_image6,40,19,shCtrl
shCtrl_image6,45,5,shCtrl
shCtrl_image7,5,38,shCtrl
shCtrl_image7,10,142,shCtrl
shCtrl_image7,15,164,shCtrl
shCtrl_image7,20,146,shCtrl
shCtrl_image7,25,77,shCtrl
shCtrl_image7,30,29,shCtrl
shTest_image6,5,22,shTest
shTest_image6,10,133,shTest
shTest_image6,15,202,shTest
shTest_image6,20,159,shTest
shTest_image6,25,117,shTest
shTest_image6,30,84,shTest
shTest_image6,35,37,shTest
shTest_image6,40,25,shTest
shTest_image6,45,7,shTest
shTest_image7,5,36,shTest
shTest_image7,10,180,shTest
shTest_image7,15,212,shTest
shTest_image7,20,62,shTest
shTest_image7,25,6,shTest
shTest_image8,5,3,shTest
shTest_image8,10,42,shTest
shTest_image8,15,109,shTest
shTest_image8,20,198,shTest
shTest_image8,25,87,shTest
shTest_image8,30,30,shTest
shTest_image8,35,3,shTest
shTest_image8,40,1,shTest
shTest_image9,5,10,shTest
shTest_image9,10,108,shTest
shTest_image9,15,175,shTest
shTest_image9,20,142,shTest
shTest_image9,25,99,shTest
shTest_image9,30,61,shTest
shTest_image9,35,15,shTest
shTest_image10,5,26,shTest
shTest_image10,10,153,shTest
shTest_image10,15,454,shTest
shTest_image10,20,446,shTest
shTest_image10,25,334,shTest
shTest_image10,30,146,shTest
shTest_image10,35,25,shTest
shTest_image10,40,5,shTest
shTest_image11,5,22,shTest
shTest_image11,10,126,shTest
shTest_image11,15,212,shTest
shTest_image11,20,147,shTest
shTest_image11,25,40,shTest
shTest_image11,30,23,shTest
shTest_image11,35,5,shTest
shCtrl_image8,5,32,shCtrl
shCtrl_image8,10,219,shCtrl
shCtrl_image8,15,181,shCtrl
shCtrl_image8,20,90,shCtrl
shCtrl_image8,25,33,shCtrl
shCtrl_image8,30,8,shCtrl
shCtrl_image11,5,65,shCtrl
shCtrl_image11,10,277,shCtrl
shCtrl_image11,15,345,shCtrl
shCtrl_image11,20,226,shCtrl
shCtrl_image11,25,87,shCtrl
shCtrl_image11,30,31,shCtrl
shCtrl_image11,35,6,shCtrl
shCtrl_image13,5,33,shCtrl
shCtrl_image13,10,145,shCtrl
shCtrl_image13,15,187,shCtrl
shCtrl_image13,20,197,shCtrl
shCtrl_image13,25,119,shCtrl
shCtrl_image13,30,62,shCtrl
shCtrl_image13,35,16,shCtrl
shCtrl_image13,40,6,shCtrl
shCtrl_image14,5,37,shCtrl
shCtrl_image14,10,281,shCtrl
shCtrl_image14,15,456,shCtrl
shCtrl_image14,20,355,shCtrl
shCtrl_image14,25,164,shCtrl
shCtrl_image14,30,71,shCtrl
shCtrl_image14,35,9,shCtrl
shCtrl_image15,5,40,shCtrl
shCtrl_image15,10,261,shCtrl
shCtrl_image15,15,477,shCtrl
shCtrl_image15,20,486,shCtrl
shCtrl_image15,25,390,shCtrl
shCtrl_image15,30,217,shCtrl
shCtrl_image15,35,102,shCtrl
shCtrl_image15,40,18,shCtrl
shCtrl_image16,5,50,shCtrl
shCtrl_image16,10,246,shCtrl
shCtrl_image16,15,295,shCtrl
shCtrl_image16,20,224,shCtrl
shCtrl_image16,25,87,shCtrl
shCtrl_image16,30,36,shCtrl
shCtrl_image16,35,6,shCtrl
shCtrl_image17,5,61,shCtrl
shCtrl_image17,10,238,shCtrl
shCtrl_image17,15,347,shCtrl
shCtrl_image17,20,417,shCtrl
shCtrl_image17,25,298,shCtrl
shCtrl_image17,30,127,shCtrl
shCtrl_image17,35,69,shCtrl
shCtrl_image17,40,21,shCtrl
shCtrl_image17,45,6,shCtrl
